U_alt,param_N,method_inference,U_H0,N_H0,N_alt,method_GOF,beta,power
exp,15,partial-MME,exp,pois,pois,LT_L2,0.001,0.0281
exp,16,partial-MME,exp,pois,pois,LT_L2,0.001,0.038
exp,17,partial-MME,exp,pois,pois,LT_L2,0.001,0.03
exp,18,partial-MME,exp,pois,pois,LT_L2,0.001,0.0365
exp,19,partial-MME,exp,pois,pois,LT_L2,0.001,0.035
exp,20,partial-MME,exp,pois,pois,LT_L2,0.001,0.034
exp,21,partial-MME,exp,pois,pois,LT_L2,0.001,0.0419
exp,22,partial-MME,exp,pois,pois,LT_L2,0.001,0.0366
exp,23,partial-MME,exp,pois,pois,LT_L2,0.001,0.0344
exp,24,partial-MME,exp,pois,pois,LT_L2,0.001,0.0378
exp,25,partial-MME,exp,pois,pois,LT_L2,0.001,0.0394
exp,26,partial-MME,exp,pois,pois,LT_L2,0.001,0.0374
exp,27,partial-MME,exp,pois,pois,LT_L2,0.001,0.0361
exp,28,partial-MME,exp,pois,pois,LT_L2,0.001,0.0374
exp,29,partial-MME,exp,pois,pois,LT_L2,0.001,0.0352
exp,30,partial-MME,exp,pois,pois,LT_L2,0.001,0.0369
exp,1,MME,exp,pois,pois,LT_L2,0.01,0.0593
exp,2,MME,exp,pois,pois,LT_L2,0.01,0.0528
exp,3,MME,exp,pois,pois,LT_L2,0.01,0.0486
exp,4,MME,exp,pois,pois,LT_L2,0.01,0.0381
exp,5,MME,exp,pois,pois,LT_L2,0.01,0.0338
exp,6,MME,exp,pois,pois,LT_L2,0.01,0.0302
exp,7,MME,exp,pois,pois,LT_L2,0.01,0.0317
exp,8,MME,exp,pois,pois,LT_L2,0.01,0.0322
exp,9,MME,exp,pois,pois,LT_L2,0.01,0.022
exp,10,MME,exp,pois,pois,LT_L2,0.01,0.0233
exp,11,MME,exp,pois,pois,LT_L2,0.01,0.0229
exp,12,MME,exp,pois,pois,LT_L2,0.01,0.0288
exp,13,MME,exp,pois,pois,LT_L2,0.01,0.0331
exp,14,MME,exp,pois,pois,LT_L2,0.01,0.0303
exp,15,MME,exp,pois,pois,LT_L2,0.01,0.0298
exp,16,MME,exp,pois,pois,LT_L2,0.01,0.0314
exp,17,MME,exp,pois,pois,LT_L2,0.01,0.0338
exp,18,MME,exp,pois,pois,LT_L2,0.01,0.0313
exp,19,MME,exp,pois,pois,LT_L2,0.01,0.0377
exp,20,MME,exp,pois,pois,LT_L2,0.01,0.0348
exp,21,MME,exp,pois,pois,LT_L2,0.01,0.0385
exp,22,MME,exp,pois,pois,LT_L2,0.01,0.0366
exp,23,MME,exp,pois,pois,LT_L2,0.01,0.0384
exp,24,MME,exp,pois,pois,LT_L2,0.01,0.0384
exp,25,MME,exp,pois,pois,LT_L2,0.01,0.0334
exp,26,MME,exp,pois,pois,LT_L2,0.01,0.0364
exp,27,MME,exp,pois,pois,LT_L2,0.01,0.0346
exp,28,MME,exp,pois,pois,LT_L2,0.01,0.0407
exp,29,MME,exp,pois,pois,LT_L2,0.01,0.0351
exp,30,MME,exp,pois,pois,LT_L2,0.01,0.0409
exp,1,partial-MME,exp,pois,pois,LT_L2,0.01,0.0513
exp,2,partial-MME,exp,pois,pois,LT_L2,0.01,0.0446
exp,3,partial-MME,exp,pois,pois,LT_L2,0.01,0.0342
exp,4,partial-MME,exp,pois,pois,LT_L2,0.01,0.0679
exp,5,partial-MME,exp,pois,pois,LT_L2,0.01,0.0503
exp,6,partial-MME,exp,pois,pois,LT_L2,0.01,0.0217
exp,7,partial-MME,exp,pois,pois,LT_L2,0.01,0.0139
exp,8,partial-MME,exp,pois,pois,LT_L2,0.01,0.0272
exp,9,partial-MME,exp,pois,pois,LT_L2,0.01,0.0212
exp,10,partial-MME,exp,pois,pois,LT_L2,0.01,0.0211
exp,11,partial-MME,exp,pois,pois,LT_L2,0.01,0.024
exp,12,partial-MME,exp,pois,pois,LT_L2,0.01,0.0255
exp,13,partial-MME,exp,pois,pois,LT_L2,0.01,0.0277
exp,14,partial-MME,exp,pois,pois,LT_L2,0.01,0.0318
exp,15,partial-MME,exp,pois,pois,LT_L2,0.01,0.0355
exp,16,partial-MME,exp,pois,pois,LT_L2,0.01,0.0298
exp,17,partial-MME,exp,pois,pois,LT_L2,0.01,0.0329
exp,18,partial-MME,exp,pois,pois,LT_L2,0.01,0.0348
exp,19,partial-MME,exp,pois,pois,LT_L2,0.01,0.0359
exp,20,partial-MME,exp,pois,pois,LT_L2,0.01,0.0297
exp,21,partial-MME,exp,pois,pois,LT_L2,0.01,0.0346
exp,22,partial-MME,exp,pois,pois,LT_L2,0.01,0.0371
exp,23,partial-MME,exp,pois,pois,LT_L2,0.01,0.0397
exp,24,partial-MME,exp,pois,pois,LT_L2,0.01,0.0389
exp,25,partial-MME,exp,pois,pois,LT_L2,0.01,0.0362
exp,26,partial-MME,exp,pois,pois,LT_L2,0.01,0.037
exp,27,partial-MME,exp,pois,pois,LT_L2,0.01,0.0392
exp,28,partial-MME,exp,pois,pois,LT_L2,0.01,0.0392
exp,29,partial-MME,exp,pois,pois,LT_L2,0.01,0.0343
exp,30,partial-MME,exp,pois,pois,LT_L2,0.01,0.0375
exp,1,MME,exp,pois,pois,LT_ODE,0.1,0.0534
exp,2,MME,exp,pois,pois,LT_ODE,0.1,0.0542
exp,3,MME,exp,pois,pois,LT_ODE,0.1,0.0507
exp,4,MME,exp,pois,pois,LT_ODE,0.1,0.0423
exp,5,MME,exp,pois,pois,LT_ODE,0.1,0.0384
exp,6,MME,exp,pois,pois,LT_ODE,0.1,0.0367
exp,7,MME,exp,pois,pois,LT_ODE,0.1,0.0409
exp,8,MME,exp,pois,pois,LT_ODE,0.1,0.0424
exp,9,MME,exp,pois,pois,LT_ODE,0.1,0.038
exp,10,MME,exp,pois,pois,LT_ODE,0.1,0.033
exp,11,MME,exp,pois,pois,LT_ODE,0.1,0.0397
exp,12,MME,exp,pois,pois,LT_ODE,0.1,0.0402
exp,13,MME,exp,pois,pois,LT_ODE,0.1,0.0413
exp,14,MME,exp,pois,pois,LT_ODE,0.1,0.0422
exp,15,MME,exp,pois,pois,LT_ODE,0.1,0.0407
exp,16,MME,exp,pois,pois,LT_ODE,0.1,0.0417
exp,17,MME,exp,pois,pois,LT_ODE,0.1,0.0417
exp,18,MME,exp,pois,pois,LT_ODE,0.1,0.0465
exp,19,MME,exp,pois,pois,LT_ODE,0.1,0.0445
exp,20,MME,exp,pois,pois,LT_ODE,0.1,0.0465
exp,21,MME,exp,pois,pois,LT_ODE,0.1,0.0483
exp,22,MME,exp,pois,pois,LT_ODE,0.1,0.0365
exp,23,MME,exp,pois,pois,LT_ODE,0.1,0.0465
exp,24,MME,exp,pois,pois,LT_ODE,0.1,0.0413
exp,25,MME,exp,pois,pois,LT_ODE,0.1,0.0509
exp,26,MME,exp,pois,pois,LT_ODE,0.1,0.04
exp,27,MME,exp,pois,pois,LT_ODE,0.1,0.0446
exp,28,MME,exp,pois,pois,LT_ODE,0.1,0.0452
exp,29,MME,exp,pois,pois,LT_ODE,0.1,0.0458
exp,30,MME,exp,pois,pois,LT_ODE,0.1,0.0435
exp,1,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0521
exp,2,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0494
exp,3,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0547
exp,4,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0619
exp,5,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0288
exp,6,partial-MME,exp,pois,pois,LT_ODE,0.1,0.02
exp,7,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0449
exp,8,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0419
exp,9,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0272
exp,10,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0307
exp,11,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0377
exp,12,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0435
exp,13,partial-MME,exp,pois,pois,LT_ODE,0.1,0.043
exp,14,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0469
exp,15,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0491
exp,16,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0436
exp,17,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0421
exp,18,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0443
exp,19,partial-MME,exp,pois,pois,LT_ODE,0.1,0.04
exp,20,partial-MME,exp,pois,pois,LT_ODE,0.1,0.05
exp,21,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0466
exp,22,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0418
exp,23,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0455
exp,24,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0455
exp,25,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0473
exp,26,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0456
exp,27,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0418
exp,28,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0486
exp,29,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0518
exp,30,partial-MME,exp,pois,pois,LT_ODE,0.1,0.0392
exp,1,MME,exp,pois,pois,LT_ODE,1,0.0495
exp,2,MME,exp,pois,pois,LT_ODE,1,0.0469
exp,3,MME,exp,pois,pois,LT_ODE,1,0.052
exp,4,MME,exp,pois,pois,LT_ODE,1,0.0435
